date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2023-11-20;1.09458;1.09219;True;True;True;1.093385;1.09296;1.09151;True;True;True;1.092235;1.09096;1.08986;False;False;False;1.0904099999999999;1.08798;1.08586;1.08692;True;True;True;Weak Uptrend;Strong Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2023-11-21;1.09591;1.09383;False;False;True;1.09487;1.09637;1.09436;False;False;True;1.0953650000000001;1.09468;1.0942;False;True;True;1.09444;1.09458;1.09219;1.093385;True;True;True;Weak Downtrend;Weak Uptrend;Medium Uptrend;True;Complete;Broken;Complete
2023-11-22;1.08878;1.08522;False;False;True;1.0870000000000002;1.09199;1.08826;False;False;True;1.090125;1.09189;1.09143;False;True;False;1.09166;1.09591;1.09383;1.09487;False;False;True;Medium Downtrend;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2023-11-23;1.0909;1.08917;True;True;True;1.0900349999999999;1.09306;1.08952;True;False;True;1.0912899999999999;1.089;1.08862;True;True;True;1.08881;1.08878;1.08522;1.0870000000000002;False;False;True;Medium Downtrend;Strong Uptrend;Medium Uptrend;True;Complete;Broken;Broken
2023-11-24;1.09452;1.09202;True;True;True;1.09327;1.09193;1.09051;True;False;False;1.09122;1.09072;1.09028;True;True;False;1.0905;1.0909;1.08917;1.0900349999999999;True;True;True;Strong Uptrend;Medium Uptrend;Contraction;True;Broken;Broken;Broken
2023-11-27;1.09385;1.09248;True;True;True;1.093165;1.09521;1.09392;False;True;True;1.094565;1.09426;1.09334;False;False;False;1.0937999999999999;1.09452;1.09202;1.09327;True;True;True;Strong Downtrend;Medium Uptrend;Contraction;True;Broken;Complete;Broken
2023-11-28;1.09881;1.09684;False;True;True;1.097825;1.09501;1.09358;True;True;True;1.094295;1.09611;1.09557;False;False;False;1.09584;1.09385;1.09248;1.093165;True;True;True;Strong Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2023-11-29;1.09909;1.096;False;True;True;1.097545;1.09984;1.09761;True;False;True;1.098725;1.10056;1.09976;False;True;False;1.10016;1.09881;1.09684;1.097825;False;True;True;Weak Downtrend;Medium Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2023-11-30;1.09182;1.08919;False;False;True;1.090505;1.09592;1.09203;False;False;True;1.093975;1.09756;1.0972;True;True;False;1.09738;1.09909;1.096;1.097545;False;True;True;Strong Downtrend;Strong Downtrend;Contraction;True;Broken;Complete;Broken
2023-12-01;1.08688;1.08413;False;False;False;1.085505;1.0903;1.08859;False;True;False;1.089445;1.0901;1.08911;True;True;True;1.0896050000000002;1.09182;1.08919;1.090505;False;False;True;Strong Downtrend;Expansion;Medium Downtrend;True;Broken;Broken;Complete
